Brand,Phone_Name,Price,MarketPrice,Discount,Link,ImageLink
XMobile,XMobile X1,"Rs. 2,699",,,https://priceoye.pk/mobiles/xmobile/xmobile-x1,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile X3,"Rs. 2,899",,,https://priceoye.pk/mobiles/xmobile/xmobile-x3,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i710,"Rs. 4,999",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i710,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GRESSO,GRESSO R106 Pro,"Rs. 2,549",,,https://priceoye.pk/mobiles/gresso/gresso-r106-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GRESSO,GRESSO R106,"Rs. 2,649",,,https://priceoye.pk/mobiles/gresso/gresso-r106,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Club,Club Mobile A1000,"Rs. 3,799",,,https://priceoye.pk/mobiles/club-mobile/club-mobile-a1000,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Calme,Calme Music 300,"Rs. 3,899",,,https://priceoye.pk/mobiles/calme/calme-music-300,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Calme,Calme Music 600,"Rs. 3,949",,,https://priceoye.pk/mobiles/calme/calme-music-600,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi E-Prime,"Rs. 4,099",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-e-prime,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i251,"Rs. 3,599","
                Rs. 3,849            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i251,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Itel,Itel A49,"Rs. 23,199","
                Rs. 24,999            ","
                (7% OFF)            ",https://priceoye.pk/mobiles/itel/itel-a49,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno POP 5 LTE,"Rs. 24,299","
                Rs. 24,999            ","
                (3% OFF)            ",https://priceoye.pk/mobiles/tecno/tecno-pop-5-lte,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GFive,GFive G3310,"Rs. 2,749",,,https://priceoye.pk/mobiles/gfive/gfive-g3310,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Digit,Digit Glory 1,"Rs. 15,499","
                Rs. 17,299            ","
                (10% OFF)            ",https://priceoye.pk/mobiles/digit/digit-glory-1,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Smart 6 HD,"Rs. 27,499","
                Rs. 31,999            ","
                (14% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-smart-6-hd,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GRESSO,GRESSO Jugnu,"Rs. 2,649",,,https://priceoye.pk/mobiles/gresso/gresso-jugnu,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
REMAXX,REMAXX R110,"Rs. 2,699",,,https://priceoye.pk/mobiles/remaxx/remaxx-r110,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile X4,"Rs. 3,749",,,https://priceoye.pk/mobiles/xmobile/xmobile-x4,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi E40i,"Rs. 3,999",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-e40i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi Mega Music Pro,"Rs. 4,149",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-mega-music-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi Mega Music,"Rs. 4,149",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-mega-music,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
QMobile,QMobile Music 400 Pro,"Rs. 3,899",,,https://priceoye.pk/mobiles/qmobile/qmobile-music-400-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile Dabang Plus,"Rs. 3,499",,,https://priceoye.pk/mobiles/xmobile/xmobile-dabang-plus,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile Jeet,"Rs. 2,799",,,https://priceoye.pk/mobiles/xmobile/xmobile-jeet,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile X1000 Music,"Rs. 3,599",,,https://priceoye.pk/mobiles/xmobile/xmobile-x1000-music,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile X4i,"Rs. 3,499",,,https://priceoye.pk/mobiles/xmobile/xmobile-x4i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
QMobile,QMobile SL100 Big,"Rs. 4,199",,,https://priceoye.pk/mobiles/qmobile/qmobile-sl100-big,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Honor,Honor X5,"Rs. 30,099","
                Rs. 31,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/honor/honor-x5,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL iMusic Lite,"Rs. 3,899","
                Rs. 4,499            ","
                (13% OFF)            ",https://priceoye.pk/mobiles/vgo-tel/vgo-tel-imusic-lite,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y02s,"Rs. 40,199","
                Rs. 49,999            ","
                (20% OFF)            ",https://priceoye.pk/mobiles/vivo/vivo-y02s,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile SL100 Plus,"Rs. 3,799",,,https://priceoye.pk/mobiles/xmobile/xmobile-sl100-plus,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL New 22,"Rs. 36,299",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-new-22,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile Mega Gabbar,"Rs. 3,699",,,https://priceoye.pk/mobiles/xmobile/xmobile-mega-gabbar,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile Music King,"Rs. 3,699",,,https://priceoye.pk/mobiles/xmobile/xmobile-music-king,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile Magic Power,"Rs. 3,599",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-magic-power,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Calme,Calme C885,"Rs. 3,999",,,https://priceoye.pk/mobiles/calme/calme-c885,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Honor,Honor X6,"Rs. 43,999","
                Rs. 46,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/honor/honor-x6,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL New 7,"Rs. 12,799","
                Rs. 13,299            ","
                (4% OFF)            ",https://priceoye.pk/mobiles/vgo-tel/vgo-tel-new-7,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
