Brand,Watch_Name,Price,MarketPrice,Discount,Link,ImageLink
Apple,Apple Watch Series 8 (41mm),"Rs. 114,999","
                Rs. 122,000            ","
                (6% OFF)            ",https://priceoye.pk/smart-watches/apple/apple-watch-series-8-41mm,https://static.priceoye.pk/images/product-placeholder.jpg
GS8+,GS8+ Ultra Bluetooth Calling Watch,"Rs. 6,099","
                Rs. 8,500            ","
                (28% OFF)            ",https://priceoye.pk/smart-watches/assorted/gs8-ultra-bluetooth-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Yolo,Yolo Bluetooth Calling Watch Pro Max,"Rs. 8,999","
                Rs. 11,000            ","
                (18% OFF)            ",https://priceoye.pk/smart-watches/yolo/yolo-bluetooth-calling-watch-pro-max,https://static.priceoye.pk/images/product-placeholder.jpg
GS8,GS8 Ultra Bluetooth Calling Watch,"Rs. 5,899","
                Rs. 6,599            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/assorted/gs8-ultra-bluetooth-calling-watch,https://static.priceoye.pk/images/product-placeholder.jpg
LOGIN,LOGIN LT-W8 Business Smartwatch,"Rs. 6,499","
                Rs. 6,999            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/login/login-lt-w8-business-smartwatch,https://static.priceoye.pk/images/product-placeholder.jpg
N8,N8 Ultra Smart Watch,"Rs. 5,999","
                Rs. 7,499            ","
                (20% OFF)            ",https://priceoye.pk/smart-watches/assorted/n8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
TW28,TW28 Ultra Smart Watch,"Rs. 6,299","
                Rs. 6,999            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/assorted/tw28-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
D20,D20 Ultra Smart Band,"Rs. 1,249","
                Rs. 1,999            ","
                (38% OFF)            ",https://priceoye.pk/smart-watches/assorted/d20-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Joyroom,Joyroom Classic Series Smart Watch (JR-FC1),"Rs. 10,649","
                Rs. 11,499            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/joyroom/joyroom-classic-series-smart-watch-jr-fc1,https://static.priceoye.pk/images/product-placeholder.jpg
Joyroom,Joyroom Classic Series Smart Watch (JR-FC2),"Rs. 11,999","
                Rs. 12,999            ","
                (8% OFF)            ",https://priceoye.pk/smart-watches/joyroom/joyroom-classic-series-smart-watch-jr-fc2,https://static.priceoye.pk/images/product-placeholder.jpg
BML,BML Ultra Max Smart Watch,"Rs. 5,249","
                Rs. 5,999            ","
                (13% OFF)            ",https://priceoye.pk/smart-watches/assorted/bml-ultra-max-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
S8,S8 Ultra Smart Watch,"Rs. 1,999","
                Rs. 2,499            ","
                (20% OFF)            ",https://priceoye.pk/smart-watches/assorted/s8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Xiaomi,Xiaomi Smart Band 8,"Rs. 12,799","
                Rs. 17,499            ","
                (27% OFF)            ",https://priceoye.pk/smart-watches/xiaomi/xiaomi-smart-band-8,https://static.priceoye.pk/images/product-placeholder.jpg
Haino,Haino Teko T93 Ultra Max Smart Watch (3 Straps in 1),"Rs. 7,049","
                Rs. 7,999            ","
                (12% OFF)            ",https://priceoye.pk/smart-watches/haino-teko/haino-teko-t93-ultra-max-smart-watch-3-straps-in-1,https://static.priceoye.pk/images/product-placeholder.jpg
Realme,Realme Watch S,"Rs. 18,399","
                Rs. 21,999            ","
                (16% OFF)            ",https://priceoye.pk/smart-watches/realme/realme-watch-s,https://static.priceoye.pk/images/product-placeholder.jpg
Realme,Realme Band,"Rs. 5,399","
                Rs. 7,500            ","
                (28% OFF)            ",https://priceoye.pk/smart-watches/realme/realme-band,https://static.priceoye.pk/images/product-placeholder.jpg
Mibro,Mibro T1 Smart Watch,"Rs. 10,999","
                Rs. 14,999            ","
                (27% OFF)            ",https://priceoye.pk/smart-watches/mibro/mibro-t1,https://static.priceoye.pk/images/product-placeholder.jpg
Redmi,Redmi Smart Band 2,"Rs. 7,199","
                Rs. 7,899            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/xiaomi/redmi-smart-band-2,https://static.priceoye.pk/images/product-placeholder.jpg
Imilab,Imilab IMIKI TG1 Smart Watch,"Rs. 10,499","
                Rs. 11,999            ","
                (13% OFF)            ",https://priceoye.pk/smart-watches/imilab/imilab-imiki-tg1-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Xcess,Xcess Pulse I Smart Watch,"Rs. 6,099","
                Rs. 6,499            ","
                (6% OFF)            ",https://priceoye.pk/smart-watches/xcess/xcess-pulse-i-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Xinji,Xinji Cobee C1 Smart Watch,"Rs. 6,249","
                Rs. 6,899            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/xinji/xinji-cobee-c1-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Joyroom,Joyroom Smart Watch (JR-FT6),"Rs. 12,899","
                Rs. 13,999            ","
                (8% OFF)            ",https://priceoye.pk/smart-watches/joyroom/joyroom-smart-watch-jr-ft6,https://static.priceoye.pk/images/product-placeholder.jpg
Samsung,Samsung Galaxy Watch 5 Bluetooth 44mm (R-910),"Rs. 55,499","
                Rs. 64,999            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-5-bluetooth-44mm-r-910,https://static.priceoye.pk/images/product-placeholder.jpg
Zeblaze,Zeblaze Btalk Calling Watch,"Rs. 6,499","
                Rs. 6,999            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/zeblaze/zeblaze-btalk,https://static.priceoye.pk/images/product-placeholder.jpg
DT,DT No 1 Smart Watch,"Rs. 4,849","
                Rs. 5,599            ","
                (13% OFF)            ",https://priceoye.pk/smart-watches/assorted/dt-no-1-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
H10,H10 Ultra Smart watch Series 8,"Rs. 7,199","
                Rs. 8,500            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/assorted/h10-ultra-smart-watch-series-8,https://static.priceoye.pk/images/product-placeholder.jpg
Haino,Haino Teko C1 Calling Watch (46mm),"Rs. 6,299","
                Rs. 9,500            ","
                (34% OFF)            ",https://priceoye.pk/smart-watches/haino-teko/haino-teko-c1-calling-watch-46mm,https://static.priceoye.pk/images/product-placeholder.jpg
Kieslect,Kieslect K11 Pro Smart Watch,"Rs. 10,999",,,https://priceoye.pk/smart-watches/kieslect/kieslect-k11-pro-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
WS8,WS8 Ultra Bluetooth Calling Watch,"Rs. 4,699","
                Rs. 8,000            ","
                (41% OFF)            ",https://priceoye.pk/smart-watches/assorted/ws8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Y8,Y8 Ultra Smart Watch,"Rs. 5,299","
                Rs. 6,499            ","
                (18% OFF)            ",https://priceoye.pk/smart-watches/assorted/y8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
HOTTU,HOTTU HOT8 Pro Smart Watch,"Rs. 6,899","
                Rs. 7,999            ","
                (14% OFF)            ",https://priceoye.pk/smart-watches/hottu/hottu-hot8-pro-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
EW08,EW08 Ultra Smart Watch,"Rs. 3,199","
                Rs. 3,899            ","
                (18% OFF)            ",https://priceoye.pk/smart-watches/assorted/ew08-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Kieslect,Kieslect KS Smart Calling Watch,"Rs. 16,299","
                Rs. 16,999            ","
                (4% OFF)            ",https://priceoye.pk/smart-watches/kieslect/kieslect-ks-smart-calling-watch,https://static.priceoye.pk/images/product-placeholder.jpg
WearFit,WearFit HK9 Pro Smart Watch,"Rs. 8,149","
                Rs. 8,999            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/assorted/wearfit-hk9-pro-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
I8,I8 Ultra Smart Watch with TWS Earphones (2 Straps in 1),"Rs. 3,599","
                Rs. 3,999            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/assorted/i8-ultra-smart-watch-with-tws-earphones-2-straps-in-1,https://static.priceoye.pk/images/product-placeholder.jpg
HK8,HK8 Pro Smart Watch,"Rs. 6,599","
                Rs. 7,499            ","
                (12% OFF)            ",https://priceoye.pk/smart-watches/assorted/hk8-pro-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Joyroom,Joyroom FT1 Pro Smart Watch,"Rs. 6,449","
                Rs. 6,799            ","
                (5% OFF)            ",https://priceoye.pk/smart-watches/joyroom/joyroom-ft1-pro-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
